D0,D1,D2,date,value
T,UEB_NPB_DAA,BPT,2022-07-01,2541.5384925145004
T,UEB_NPB_DAA,BPT,2022-08-01,2758.6922754038305
T,UEB_NPB_DAA,BPT,2022-09-01,2315.2791223768554
T,UEB_NPB_DAA,BPT,2022-10-01,2415.7864527723095
T,UEB_NPB_DAA,BPT,2022-11-01,2819.6315423447136
T,UEB_NPB_DAA,BPT,2022-12-01,2749.1107392111085
T,UEB_NPB_DAA,BPT,2023-01-01,2318.654377752821
T,UEB_NPB_DAA,BPT,2023-02-01,2542.9509923083683
T,UEB_NPB_DAA,BPT,2023-03-01,2902.4481220627777
T,UEB_NPB_DAA,BPT,2023-04-01,2873.448513071867
T,UEB_NPB_DAA,BPT,2023-05-01,3289.9768148710973
T,UEB_NPB_DAA,BPT,2023-06-01,2349.5087909041695
T,UEB_NPB_DAA,BPT,2023-07-01,2367.008655999884
T,UEB_NPB_DAA,BPT,2023-08-01,2584.5574105266464
T,UEB_NPB_DAA,BPT,2023-09-01,2132.723237648143
T,UEB_NPB_DAA,BPT,2023-10-01,2264.667541683226
T,UEB_NPB_DAA,BPT,2023-11-01,2424.1058599411786
T,UEB_NPB_DAA,BPT,2023-12-01,2472.405463176077
T,UEB_NPB_DAA,BPT,2024-01-01,2512.9286513286584
T,UEB_NPB_DAA,BPT,2024-02-01,2440.435545950007
