NOGA,ADJUSTMENT,INDICATOR_KE,date,value
I,W,UTOT,2024-07-01,172.2
I,W,UTOT,2024-10-01,147.84
I,W,UTOT,2025-01-01,147.36
I,W,UTOT,2025-04-01,157.75
I,W,UTOT,2025-07-01,179.01
I,W,UTOT,2025-10-01,152.01
I,W,UTOT,2026-01-01,147.92
I,Y,UINL,2021-01-01,92.18
I,Y,UINL,2021-04-01,98.9
I,Y,UINL,2021-07-01,104.01
I,Y,UINL,2021-10-01,104.91
I,Y,UINL,2022-01-01,126.52
I,Y,UINL,2022-04-01,138.06
I,Y,UINL,2022-07-01,144.09
I,Y,UINL,2022-10-01,149.77
