fuel,date,value
DH,2016-11-01,19
DH,2016-12-01,17
DH,2017-01-01,9
DH,2017-02-01,17
DH,2017-03-01,7
DH,2017-04-01,5
DH,2017-05-01,20
DH,2017-06-01,15
DH,2017-07-01,7
DH,2017-08-01,12
DH,2017-09-01,13
DH,2017-10-01,10
DH,2017-11-01,44
DH,2017-12-01,17
DH,2018-01-01,9
DH,2018-02-01,7
DH,2018-03-01,25
DH,2018-04-01,29
DH,2018-05-01,7
DH,2018-06-01,12
DH,2018-07-01,55
DH,2018-08-01,87
DH,2018-09-01,92
DH,2018-10-01,123
DH,2018-11-01,140
DH,2018-12-01,208
DH,2019-01-01,171
DH,2019-02-01,106
DH,2019-03-01,176
DH,2019-04-01,114
DH,2019-05-01,195
DH,2019-06-01,290
DH,2019-07-01,454
DH,2019-08-01,292
DH,2019-09-01,421
DH,2019-10-01,483
DH,2019-11-01,411
DH,2019-12-01,637
DH,2020-01-01,402
DH,2020-02-01,328
DH,2020-03-01,320
DH,2020-04-01,158
DH,2020-05-01,215
DH,2020-06-01,452
DH,2020-07-01,468
DH,2020-08-01,347
DH,2020-09-01,433
DH,2020-10-01,641
DH,2020-11-01,682
DH,2020-12-01,836
DH,2021-01-01,619
DH,2021-02-01,615
DH,2021-03-01,1053
DH,2021-04-01,908
DH,2021-05-01,774
DH,2021-06-01,1034
DH,2021-07-01,864
DH,2021-08-01,690
DH,2021-09-01,814
DH,2021-10-01,554
DH,2021-11-01,757
DH,2021-12-01,849
DH,2022-01-01,662
DH,2022-02-01,711
DH,2022-03-01,857
DH,2022-04-01,668
DH,2022-05-01,910
DH,2022-06-01,831
DH,2022-07-01,768
DH,2022-08-01,876
DH,2022-09-01,907
DH,2022-10-01,913
DH,2022-11-01,1158
DH,2022-12-01,1411
DH,2023-01-01,946
DH,2023-02-01,932
DH,2023-03-01,1318
DH,2023-04-01,940
DH,2023-05-01,993
DH,2023-06-01,1070
DH,2023-07-01,802
DH,2023-08-01,906
DH,2023-09-01,1149
DH,2023-10-01,916
DH,2023-11-01,1112
DH,2023-12-01,1218
DH,2024-01-01,826
DH,2024-02-01,793
DH,2024-03-01,1032
DH,2024-04-01,1007
DH,2024-05-01,1111
DH,2024-06-01,1153
DH,2024-07-01,979
DH,2024-08-01,914
DH,2024-09-01,1240
DH,2024-10-01,1055
DH,2024-11-01,1083
DH,2024-12-01,1264
DH,2025-01-01,922
DH,2025-02-01,691
DH,2025-03-01,985
DH,2025-04-01,978
DH,2025-05-01,939
DH,2025-06-01,969
DH,2025-07-01,770
DH,2025-08-01,757
DH,2025-09-01,835
DH,2025-10-01,778
DH,2025-11-01,756
DH,2025-12-01,1061
DH,2026-01-01,775
DH,2026-02-01,702
DH,2026-03-01,1027
DH,2026-04-01,715
DH,2026-05-01,847
DH,2026-06-01,1065
DH,2026-07-01,740
EL,2005-01-01,0
EL,2005-02-01,3
EL,2005-03-01,0
EL,2005-04-01,2
EL,2005-05-01,0
EL,2005-06-01,1
EL,2005-07-01,0
EL,2005-08-01,1
EL,2005-09-01,0
EL,2005-10-01,0
EL,2005-11-01,1
EL,2005-12-01,4
EL,2006-01-01,1
EL,2006-02-01,0
EL,2006-03-01,1
EL,2006-04-01,0
EL,2006-05-01,1
EL,2006-06-01,0
EL,2006-07-01,0
EL,2006-08-01,0
EL,2006-09-01,1
EL,2006-10-01,0
EL,2006-11-01,0
EL,2006-12-01,2
EL,2007-01-01,1
EL,2007-02-01,3
EL,2007-03-01,2
EL,2007-04-01,0
EL,2007-05-01,1
EL,2007-06-01,0
EL,2007-07-01,1
EL,2007-08-01,1
EL,2007-09-01,0
EL,2007-10-01,1
EL,2007-11-01,4
EL,2007-12-01,5
EL,2008-01-01,2
EL,2008-02-01,2
EL,2008-03-01,2
EL,2008-04-01,0
EL,2008-05-01,2
EL,2008-06-01,2
EL,2008-07-01,1
EL,2008-08-01,1
EL,2008-09-01,0
EL,2008-10-01,1
EL,2008-11-01,1
EL,2008-12-01,7
EL,2009-01-01,1
EL,2009-02-01,2
EL,2009-03-01,1
EL,2009-04-01,2
EL,2009-05-01,1
EL,2009-06-01,2
EL,2009-07-01,5
EL,2009-08-01,2
EL,2009-09-01,3
EL,2009-10-01,18
EL,2009-11-01,6
EL,2009-12-01,6
EL,2010-01-01,7
EL,2010-02-01,6
EL,2010-03-01,9
EL,2010-04-01,6
EL,2010-05-01,5
EL,2010-06-01,65
EL,2010-07-01,13
EL,2010-08-01,19
EL,2010-09-01,9
EL,2010-10-01,15
EL,2010-11-01,15
EL,2010-12-01,26
EL,2011-01-01,38
EL,2011-02-01,32
EL,2011-03-01,66
EL,2011-04-01,39
EL,2011-05-01,39
EL,2011-06-01,39
EL,2011-07-01,26
EL,2011-08-01,23
EL,2011-09-01,49
EL,2011-10-01,14
EL,2011-11-01,53
EL,2011-12-01,27
EL,2012-01-01,37
EL,2012-02-01,21
EL,2012-03-01,57
EL,2012-04-01,34
EL,2012-05-01,26
EL,2012-06-01,27
EL,2012-07-01,38
EL,2012-08-01,28
EL,2012-09-01,69
EL,2012-10-01,66
EL,2012-11-01,37
EL,2012-12-01,77
EL,2013-01-01,54
EL,2013-02-01,25
EL,2013-03-01,57
EL,2013-04-01,27
EL,2013-05-01,30
EL,2013-06-01,156
EL,2013-07-01,90
EL,2013-08-01,103
EL,2013-09-01,114
EL,2013-10-01,104
EL,2013-11-01,146
EL,2013-12-01,252
EL,2014-01-01,79
EL,2014-02-01,54
EL,2014-03-01,217
EL,2014-04-01,122
EL,2014-05-01,142
EL,2014-06-01,156
EL,2014-07-01,150
EL,2014-08-01,104
EL,2014-09-01,121
EL,2014-10-01,113
EL,2014-11-01,137
EL,2014-12-01,244
EL,2015-01-01,132
EL,2015-02-01,93
EL,2015-03-01,326
EL,2015-04-01,315
EL,2015-05-01,242
EL,2015-06-01,426
EL,2015-07-01,308
EL,2015-08-01,238
EL,2015-09-01,274
EL,2015-10-01,227
EL,2015-11-01,273
EL,2015-12-01,355
EL,2016-01-01,229
EL,2016-02-01,137
EL,2016-03-01,406
EL,2016-04-01,217
EL,2016-05-01,168
EL,2016-06-01,348
EL,2016-07-01,128
EL,2016-08-01,256
EL,2016-09-01,444
EL,2016-10-01,197
EL,2016-11-01,170
EL,2016-12-01,533
EL,2017-01-01,298
EL,2017-02-01,194
EL,2017-03-01,550
EL,2017-04-01,217
EL,2017-05-01,250
EL,2017-06-01,480
EL,2017-07-01,249
EL,2017-08-01,319
EL,2017-09-01,539
EL,2017-10-01,349
EL,2017-11-01,703
EL,2017-12-01,534
EL,2018-01-01,245
EL,2018-02-01,399
EL,2018-03-01,656
EL,2018-04-01,274
EL,2018-05-01,242
EL,2018-06-01,560
EL,2018-07-01,224
EL,2018-08-01,311
EL,2018-09-01,527
EL,2018-10-01,402
EL,2018-11-01,463
EL,2018-12-01,742
EL,2019-01-01,433
EL,2019-02-01,736
EL,2019-03-01,1893
EL,2019-04-01,1038
EL,2019-05-01,672
EL,2019-06-01,1133
EL,2019-07-01,679
EL,2019-08-01,616
EL,2019-09-01,1571
EL,2019-10-01,659
EL,2019-11-01,782
EL,2019-12-01,2808
EL,2020-01-01,773
EL,2020-02-01,776
EL,2020-03-01,1571
EL,2020-04-01,490
EL,2020-05-01,679
EL,2020-06-01,1347
EL,2020-07-01,969
EL,2020-08-01,1599
EL,2020-09-01,2836
EL,2020-10-01,1474
EL,2020-11-01,2175
EL,2020-12-01,4584
EL,2021-01-01,1037
EL,2021-02-01,1375
EL,2021-03-01,2294
EL,2021-04-01,1944
EL,2021-05-01,1903
EL,2021-06-01,3643
EL,2021-07-01,1811
EL,2021-08-01,2224
EL,2021-09-01,3983
EL,2021-10-01,2162
EL,2021-11-01,3557
EL,2021-12-01,5534
EL,2022-01-01,2134
EL,2022-02-01,2420
EL,2022-03-01,4201
EL,2022-04-01,2067
EL,2022-05-01,2603
EL,2022-06-01,4400
EL,2022-07-01,1956
EL,2022-08-01,2278
EL,2022-09-01,4173
EL,2022-10-01,2416
EL,2022-11-01,4316
EL,2022-12-01,6802
EL,2023-01-01,2824
EL,2023-02-01,2579
EL,2023-03-01,4770
EL,2023-04-01,3343
EL,2023-05-01,4302
EL,2023-06-01,5117
EL,2023-07-01,3563
EL,2023-08-01,4259
EL,2023-09-01,5106
EL,2023-10-01,4463
EL,2023-11-01,4629
EL,2023-12-01,7177
EL,2024-01-01,2349
EL,2024-02-01,3270
EL,2024-03-01,4764
EL,2024-04-01,3076
EL,2024-05-01,3510
EL,2024-06-01,4173
EL,2024-07-01,3365
EL,2024-08-01,3395
EL,2024-09-01,4535
EL,2024-10-01,3466
EL,2024-11-01,4140
EL,2024-12-01,5509
EL,2025-01-01,2918
EL,2025-02-01,3381
EL,2025-03-01,4442
EL,2025-04-01,3400
EL,2025-05-01,4155
EL,2025-06-01,4982
EL,2025-07-01,3727
EL,2025-08-01,3255
EL,2025-09-01,5118
EL,2025-10-01,4140
EL,2025-11-01,4748
EL,2025-12-01,8378
EL,2026-01-01,2931
EL,2026-02-01,3065
EL,2026-03-01,5364
EL,2026-04-01,4584
EL,2026-05-01,5071
EL,2026-06-01,6739
EL,2026-07-01,4823
FC,2005-01-01,0
FC,2005-02-01,0
FC,2005-03-01,0
FC,2005-04-01,0
FC,2005-05-01,0
FC,2005-06-01,0
FC,2005-07-01,0
FC,2005-08-01,0
FC,2005-09-01,0
FC,2005-10-01,0
FC,2005-11-01,0
FC,2005-12-01,0
FC,2006-01-01,0
FC,2006-02-01,0
FC,2006-03-01,0
FC,2006-04-01,0
FC,2006-05-01,0
FC,2006-06-01,0
FC,2006-07-01,0
FC,2006-08-01,0
FC,2006-09-01,0
FC,2006-10-01,0
FC,2006-11-01,0
FC,2006-12-01,0
FC,2007-01-01,0
FC,2007-02-01,0
FC,2007-03-01,0
FC,2007-04-01,0
FC,2007-05-01,0
FC,2007-06-01,0
FC,2007-07-01,0
FC,2007-08-01,0
FC,2007-09-01,0
FC,2007-10-01,0
FC,2007-11-01,0
FC,2007-12-01,0
FC,2008-01-01,0
FC,2008-02-01,0
FC,2008-03-01,0
FC,2008-04-01,0
FC,2008-05-01,0
FC,2008-06-01,0
FC,2008-07-01,0
FC,2008-08-01,0
FC,2008-09-01,0
FC,2008-10-01,0
FC,2008-11-01,0
FC,2008-12-01,0
FC,2009-01-01,0
FC,2009-02-01,0
FC,2009-03-01,0
FC,2009-04-01,0
FC,2009-05-01,0
FC,2009-06-01,0
FC,2009-07-01,0
FC,2009-08-01,0
FC,2009-09-01,0
FC,2009-10-01,0
FC,2009-11-01,0
FC,2009-12-01,0
FC,2010-01-01,0
FC,2010-02-01,0
FC,2010-03-01,0
FC,2010-04-01,0
FC,2010-05-01,0
FC,2010-06-01,0
FC,2010-07-01,0
FC,2010-08-01,0
FC,2010-09-01,0
FC,2010-10-01,0
FC,2010-11-01,0
FC,2010-12-01,0
FC,2011-01-01,0
FC,2011-02-01,0
FC,2011-03-01,0
FC,2011-04-01,0
FC,2011-05-01,0
FC,2011-06-01,0
FC,2011-07-01,0
FC,2011-08-01,0
FC,2011-09-01,0
FC,2011-10-01,0
FC,2011-11-01,0
FC,2011-12-01,0
FC,2012-01-01,0
