canton,fuel,date,value
1,EL,2011-12-01,9
1,EL,2012-01-01,10
1,EL,2012-02-01,6
1,EL,2012-03-01,13
1,EL,2012-04-01,12
1,EL,2012-05-01,7
1,EL,2012-06-01,7
1,EL,2012-07-01,16
1,EL,2012-08-01,7
1,EL,2012-09-01,25
1,EL,2012-10-01,25
1,EL,2012-11-01,6
1,EL,2012-12-01,45
1,EL,2013-01-01,15
1,EL,2013-02-01,7
1,EL,2013-03-01,19
1,EL,2013-04-01,3
1,EL,2013-05-01,11
1,EL,2013-06-01,59
1,EL,2013-07-01,37
1,EL,2013-08-01,37
1,EL,2013-09-01,43
1,EL,2013-10-01,21
1,EL,2013-11-01,45
1,EL,2013-12-01,102
1,EL,2014-01-01,21
1,EL,2014-02-01,11
1,EL,2014-03-01,70
1,EL,2014-04-01,37
1,EL,2014-05-01,46
1,EL,2014-06-01,48
1,EL,2014-07-01,37
1,EL,2014-08-01,29
1,EL,2014-09-01,31
1,EL,2014-10-01,42
1,EL,2014-11-01,46
1,EL,2014-12-01,72
1,EL,2015-01-01,51
1,EL,2015-02-01,17
1,EL,2015-03-01,100
1,EL,2015-04-01,96
1,EL,2015-05-01,89
1,EL,2015-06-01,131
1,EL,2015-07-01,84
1,EL,2015-08-01,70
1,EL,2015-09-01,78
1,EL,2015-10-01,70
1,EL,2015-11-01,130
1,EL,2015-12-01,98
1,EL,2016-01-01,44
1,EL,2016-02-01,35
1,EL,2016-03-01,127
1,EL,2016-04-01,51
1,EL,2016-05-01,46
1,EL,2016-06-01,104
1,EL,2016-07-01,23
1,EL,2016-08-01,72
1,EL,2016-09-01,131
1,EL,2016-10-01,80
1,EL,2016-11-01,45
1,EL,2016-12-01,275
1,EL,2017-01-01,92
1,EL,2017-02-01,42
1,EL,2017-03-01,126
1,EL,2017-04-01,47
1,EL,2017-05-01,55
1,EL,2017-06-01,112
1,EL,2017-07-01,63
1,EL,2017-08-01,99
1,EL,2017-09-01,151
1,EL,2017-10-01,77
1,EL,2017-11-01,398
1,EL,2017-12-01,139
