Offene Stellen,Wirtschaftsabteilung,date,value
1,49-53,2019-07-01,4856
1,49-53,2019-10-01,6219
1,49-53,2020-01-01,4607
1,49-53,2020-04-01,2603
1,49-53,2020-07-01,2947
1,49-53,2020-10-01,3985
1,49-53,2021-01-01,2840
1,49-53,2021-04-01,4104
1,49-53,2021-07-01,3611
1,49-53,2021-10-01,3514
1,49-53,2022-01-01,3790
1,49-53,2022-04-01,4954
1,49-53,2022-07-01,5060
1,49-53,2022-10-01,4370
1,49-53,2023-01-01,5086
1,49-53,2023-04-01,5060
1,49-53,2023-07-01,5229
1,49-53,2023-10-01,4660
1,49-53,2024-01-01,4677
1,49-53,2024-04-01,4278
1,49-53,2024-07-01,4355
1,49-53,2024-10-01,4025
1,49-53,2025-01-01,4250
1,49-53,2025-04-01,3974
1,49-53,2025-07-01,4354
1,49-53,2025-10-01,3746
1,49-53,2026-01-01,4948
1,5-43,2003-04-01,10562
1,5-43,2003-07-01,8131
1,5-43,2003-10-01,8278
1,5-43,2004-01-01,11302
1,5-43,2004-04-01,12152
1,5-43,2004-07-01,9286
1,5-43,2004-10-01,9100
1,5-43,2005-01-01,10735
1,5-43,2005-04-01,10252
1,5-43,2005-07-01,10384
1,5-43,2005-10-01,12823
1,5-43,2006-01-01,16057
1,5-43,2006-04-01,17530
1,5-43,2006-07-01,16333
1,5-43,2006-10-01,16667
1,5-43,2007-01-01,21054
1,5-43,2007-04-01,22489
1,5-43,2007-07-01,21916
1,5-43,2007-10-01,20746
1,5-43,2008-01-01,22980
1,5-43,2008-04-01,23204
1,5-43,2008-07-01,22323
1,5-43,2008-10-01,13983
1,5-43,2009-01-01,11555
1,5-43,2009-04-01,10953
1,5-43,2009-07-01,10430
1,5-43,2009-10-01,10991
1,5-43,2010-01-01,13150
1,5-43,2010-04-01,15798
1,5-43,2010-07-01,15385
1,5-43,2010-10-01,16560
1,5-43,2011-01-01,19336
1,5-43,2011-04-01,19332
1,5-43,2011-07-01,15571
1,5-43,2011-10-01,14419
1,5-43,2012-01-01,16965
1,5-43,2012-04-01,15530
1,5-43,2012-07-01,14803
1,5-43,2012-10-01,13147
1,5-43,2013-01-01,15047
1,5-43,2013-04-01,14426
1,5-43,2013-07-01,14788
1,5-43,2013-10-01,14000
1,5-43,2014-01-01,16304
1,5-43,2014-04-01,15694
1,5-43,2014-07-01,14083
1,5-43,2014-10-01,13736
1,5-43,2015-01-01,13478
1,5-43,2015-04-01,11906
1,5-43,2015-07-01,10333
1,5-43,2015-10-01,10520
1,5-43,2016-01-01,10943
1,5-43,2016-04-01,11412
1,5-43,2016-07-01,10997
