flow,partner,level,date,value
export,Germany,country,1995-01-01,22912.458133
export,Germany,country,1996-01-01,22334.860668
export,Germany,country,1997-01-01,24695.908791
export,Germany,country,1998-01-01,26286.511571
export,Germany,country,1999-01-01,27230.62979
export,Germany,country,2000-01-01,29174.148872
export,Germany,country,2001-01-01,30013.883623
export,Germany,country,2002-01-01,29042.987571
export,Germany,country,2003-01-01,29224.14434
export,Germany,country,2004-01-01,30922.228334
export,Germany,country,2005-01-01,31691.779877
export,Germany,country,2006-01-01,36396.295275
export,Germany,country,2007-01-01,41919.853745
export,Germany,country,2008-01-01,42549.43289
export,Germany,country,2009-01-01,36059.339771
export,Germany,country,2010-01-01,39277.571837
export,Germany,country,2011-01-01,41956.367854
export,Germany,country,2012-01-01,43893.45503
export,Germany,country,2013-01-01,42047.239408
export,Germany,country,2014-01-01,43439.619573
export,Germany,country,2015-01-01,39660.811982
export,Germany,country,2016-01-01,42734.187257
export,Germany,country,2017-01-01,45165.719719
export,Germany,country,2018-01-01,47251.104864
export,Germany,country,2019-01-01,47685.331993
export,Germany,country,2020-01-01,46080.759793
export,Germany,country,2021-01-01,50612.953087
export,Germany,country,2022-01-01,51029.857948
export,Germany,country,2023-01-01,46041.136621
export,Germany,country,2024-01-01,45218.315674
export,Germany,country,2025-01-01,50452.296904
export,Hong Kong,country,1990-01-01,2265
export,Hong Kong,country,1991-01-01,2287
export,Hong Kong,country,1992-01-01,2592
export,Hong Kong,country,1993-01-01,2924.432207
export,Hong Kong,country,1994-01-01,3160.379087
export,Hong Kong,country,1995-01-01,2842.813732
export,Hong Kong,country,1996-01-01,2696.817989
export,Hong Kong,country,1997-01-01,3197.884013
export,Hong Kong,country,1998-01-01,2564.634971
export,Hong Kong,country,1999-01-01,2912.011223
export,Hong Kong,country,2000-01-01,3841.476826
export,Hong Kong,country,2001-01-01,4039.262098
export,Hong Kong,country,2002-01-01,4766.110625
export,Hong Kong,country,2003-01-01,4144.377235
export,Hong Kong,country,2004-01-01,4236.989323
export,Hong Kong,country,2005-01-01,4011.813463
export,Hong Kong,country,2006-01-01,4693.67733
export,Hong Kong,country,2007-01-01,5296.703779
export,Hong Kong,country,2008-01-01,6219.067954
export,Hong Kong,country,2009-01-01,5426.809696
export,Hong Kong,country,2010-01-01,6534.91814
export,Hong Kong,country,2011-01-01,7926.835882
export,Hong Kong,country,2012-01-01,15178.222798
export,Hong Kong,country,2013-01-01,47765.347773
export,Hong Kong,country,2014-01-01,22156.82841
export,Hong Kong,country,2015-01-01,24237.285406
export,Hong Kong,country,2016-01-01,18290.724601
export,Hong Kong,country,2017-01-01,15742.844199
export,Hong Kong,country,2018-01-01,15670.392481
export,Hong Kong,country,2019-01-01,9908.799681
export,Hong Kong,country,2020-01-01,5957.849792
export,Hong Kong,country,2021-01-01,9321.62017
export,Hong Kong,country,2022-01-01,7065.627975
export,Hong Kong,country,2023-01-01,13674.64873
export,Hong Kong,country,2024-01-01,10758.075311
export,Hong Kong,country,2025-01-01,6457.757552
export,India,country,1990-01-01,393
export,India,country,1991-01-01,310
export,India,country,1992-01-01,358
export,India,country,1993-01-01,404.799451
export,India,country,1994-01-01,534.345994
export,India,country,1995-01-01,659.578665
export,India,country,1996-01-01,666.314487
export,India,country,1997-01-01,590.999636
export,India,country,1998-01-01,581.428243
export,India,country,1999-01-01,511.75866
export,India,country,2000-01-01,655.673941
export,India,country,2001-01-01,655.69894
export,India,country,2002-01-01,659.474216
export,India,country,2003-01-01,758.832157
export,India,country,2004-01-01,1034.377952
export,India,country,2005-01-01,1387.316783
export,India,country,2006-01-01,1887.349855
export,India,country,2007-01-01,2303.828226
export,India,country,2008-01-01,2406.619405
export,India,country,2009-01-01,2155.435459
export,India,country,2010-01-01,2563.810998
export,India,country,2011-01-01,2983.37242
export,India,country,2012-01-01,28713.416093
export,India,country,2013-01-01,23980.063705
export,India,country,2014-01-01,19341.715969
export,India,country,2015-01-01,20613.245014
export,India,country,2016-01-01,14325.394609
export,India,country,2017-01-01,19510.809932
export,India,country,2018-01-01,17446.128372
export,India,country,2019-01-01,17946.806983
export,India,country,2020-01-01,10851.963734
export,India,country,2021-01-01,28706.455489
export,India,country,2022-01-01,14301.27833
export,India,country,2023-01-01,15073.841769
export,India,country,2024-01-01,19890.478199
export,India,country,2025-01-01,13206.174931
