sex,worktime,measure,date,value
M,PT,weekly,2025-01-01,18.849953836
M,PT_I,annual,2010-01-01,1297.8683081
M,PT_I,annual,2011-01-01,1277.2181424
M,PT_I,annual,2012-01-01,1270.8500994
M,PT_I,annual,2013-01-01,1264.204094
M,PT_I,annual,2014-01-01,1256.783529
M,PT_I,annual,2015-01-01,1287.6579483
M,PT_I,annual,2016-01-01,1284.9518053
M,PT_I,annual,2017-01-01,1271.5846124
M,PT_I,annual,2018-01-01,1276.423635
M,PT_I,annual,2019-01-01,1278.826254
M,PT_I,annual,2020-01-01,1245.6302945
M,PT_I,annual,2021-01-01,1237.2227296
M,PT_I,annual,2022-01-01,1285.2924687
M,PT_I,annual,2023-01-01,1281.5727241
M,PT_I,annual,2024-01-01,1294.4727454
M,PT_I,annual,2025-01-01,1291.7773089
M,PT_I,volume,2010-01-01,269926252.13
M,PT_I,volume,2011-01-01,284790138.07
M,PT_I,volume,2012-01-01,290999688.56
M,PT_I,volume,2013-01-01,299884612.53
M,PT_I,volume,2014-01-01,334788064.78
M,PT_I,volume,2015-01-01,358557315.57
M,PT_I,volume,2016-01-01,376586801.59
M,PT_I,volume,2017-01-01,374678825.62
M,PT_I,volume,2018-01-01,398506474.41
M,PT_I,volume,2019-01-01,414954446.16
M,PT_I,volume,2020-01-01,416543962.33
M,PT_I,volume,2021-01-01,403101201.16
M,PT_I,volume,2022-01-01,431235178.25
M,PT_I,volume,2023-01-01,462594042.88
M,PT_I,volume,2024-01-01,487565565.35
M,PT_I,volume,2025-01-01,503867038.53
M,PT_I,weekly,2010-01-01,27.918941543
M,PT_I,weekly,2011-01-01,27.551955784
M,PT_I,weekly,2012-01-01,27.68573557
M,PT_I,weekly,2013-01-01,27.853961939
M,PT_I,weekly,2014-01-01,27.576688603
M,PT_I,weekly,2015-01-01,27.996964894
M,PT_I,weekly,2016-01-01,27.975995446
M,PT_I,weekly,2017-01-01,27.895507311
M,PT_I,weekly,2018-01-01,28.102718845
M,PT_I,weekly,2019-01-01,28.095439541
M,PT_I,weekly,2020-01-01,26.491866583
M,PT_I,weekly,2021-01-01,27.047702133
M,PT_I,weekly,2022-01-01,27.913773968
M,PT_I,weekly,2023-01-01,28.025197729
M,PT_I,weekly,2024-01-01,28.317497837
M,PT_I,weekly,2025-01-01,28.382723075
M,PT_II,annual,2010-01-01,430.18947235
M,PT_II,annual,2011-01-01,438.59010305
M,PT_II,annual,2012-01-01,436.76770433
M,PT_II,annual,2013-01-01,429.04359012
M,PT_II,annual,2014-01-01,426.51419022
M,PT_II,annual,2015-01-01,428.72295875
M,PT_II,annual,2016-01-01,428.1719178
M,PT_II,annual,2017-01-01,423.68519173
M,PT_II,annual,2018-01-01,404.98381255
M,PT_II,annual,2019-01-01,403.21824307
M,PT_II,annual,2020-01-01,413.4686165
M,PT_II,annual,2021-01-01,430.78839011
M,PT_II,annual,2022-01-01,440.60209535
M,PT_II,annual,2023-01-01,422.8760448
M,PT_II,annual,2024-01-01,420.04733076
M,PT_II,annual,2025-01-01,419.38106526
M,PT_II,volume,2010-01-01,95940937.161
M,PT_II,volume,2011-01-01,93853388.546
M,PT_II,volume,2012-01-01,100111589.4
M,PT_II,volume,2013-01-01,102811796.64
M,PT_II,volume,2014-01-01,107614518.73
M,PT_II,volume,2015-01-01,112771227.78
M,PT_II,volume,2016-01-01,119609058.37
M,PT_II,volume,2017-01-01,124135959.07
M,PT_II,volume,2018-01-01,121145346.9
M,PT_II,volume,2019-01-01,121954277.18
M,PT_II,volume,2020-01-01,119836755.14
M,PT_II,volume,2021-01-01,132325474.48
M,PT_II,volume,2022-01-01,141899231.65
M,PT_II,volume,2023-01-01,143664885.23
M,PT_II,volume,2024-01-01,145900360.92
M,PT_II,volume,2025-01-01,146028284.4
M,PT_II,weekly,2010-01-01,8.8490502279
M,PT_II,weekly,2011-01-01,9.1230886667
M,PT_II,weekly,2012-01-01,9.0946507987
M,PT_II,weekly,2013-01-01,8.977394862
M,PT_II,weekly,2014-01-01,8.9718482521
M,PT_II,weekly,2015-01-01,8.8994078631
M,PT_II,weekly,2016-01-01,8.8818545412
M,PT_II,weekly,2017-01-01,8.8730753488
M,PT_II,weekly,2018-01-01,8.5210699293
M,PT_II,weekly,2019-01-01,8.4785071771
M,PT_II,weekly,2020-01-01,8.5133468984
M,PT_II,weekly,2021-01-01,9.052454501
M,PT_II,weekly,2022-01-01,9.0828357021
M,PT_II,weekly,2023-01-01,8.7890730536
M,PT_II,weekly,2024-01-01,8.7271551418
M,PT_II,weekly,2025-01-01,8.7312982947
M,_T,annual,2010-01-01,1767.9129375
M,_T,annual,2011-01-01,1767.5330601
M,_T,annual,2012-01-01,1745.611754
M,_T,annual,2013-01-01,1722.0274492
M,_T,annual,2014-01-01,1702.1855656
M,_T,annual,2015-01-01,1713.1336203
M,_T,annual,2016-01-01,1706.4816832
M,_T,annual,2017-01-01,1682.4898424
M,_T,annual,2018-01-01,1669.2162683
M,_T,annual,2019-01-01,1663.2885847
M,_T,annual,2020-01-01,1611.8500616
M,_T,annual,2021-01-01,1643.6401008
M,_T,annual,2022-01-01,1636.7119013
M,_T,annual,2023-01-01,1620.8727482
M,_T,annual,2024-01-01,1607.8606395
M,_T,annual,2025-01-01,1597.2363527
M,_T,volume,2010-01-01,4556731163.6
M,_T,volume,2011-01-01,4655875740.8
M,_T,volume,2012-01-01,4676899781.5
M,_T,volume,2013-01-01,4658851370.5
M,_T,volume,2014-01-01,4679770217.8
M,_T,volume,2015-01-01,4778406237.7
M,_T,volume,2016-01-01,4823486997.2
M,_T,volume,2017-01-01,4814694995.2
M,_T,volume,2018-01-01,4828969981.5
M,_T,volume,2019-01-01,4849399312.4
M,_T,volume,2020-01-01,4671020457.3
M,_T,volume,2021-01-01,4777079587.4
M,_T,volume,2022-01-01,4841570883.7
M,_T,volume,2023-01-01,4903439147.3
M,_T,volume,2024-01-01,4882891061.2
M,_T,volume,2025-01-01,4853768371.3
M,_T,weekly,2010-01-01,38.058861987
M,_T,weekly,2011-01-01,38.26039875
M,_T,weekly,2012-01-01,38.013959183
M,_T,weekly,2013-01-01,37.782189285
M,_T,weekly,2014-01-01,37.358182889
M,_T,weekly,2015-01-01,37.256883062
M,_T,weekly,2016-01-01,37.03463004
M,_T,weekly,2017-01-01,36.841680236
M,_T,weekly,2018-01-01,36.686089092
M,_T,weekly,2019-01-01,36.561581169
M,_T,weekly,2020-01-01,34.266467644
M,_T,weekly,2021-01-01,35.264492589
M,_T,weekly,2022-01-01,35.454415545
M,_T,weekly,2023-01-01,35.456462141
M,_T,weekly,2024-01-01,35.176032851
M,_T,weekly,2025-01-01,35.079873225
_T,FT,annual,2010-01-01,1918.7331062
_T,FT,annual,2011-01-01,1911.607105
_T,FT,annual,2012-01-01,1893.7741063
_T,FT,annual,2013-01-01,1874.8440521
_T,FT,annual,2014-01-01,1869.4834825
_T,FT,annual,2015-01-01,1884.1474596
_T,FT,annual,2016-01-01,1888.4479625
_T,FT,annual,2017-01-01,1865.1908026
_T,FT,annual,2018-01-01,1857.8112907
_T,FT,annual,2019-01-01,1856.696423
_T,FT,annual,2020-01-01,1787.6097173
_T,FT,annual,2021-01-01,1836.6727211
_T,FT,annual,2022-01-01,1825.4888898
_T,FT,annual,2023-01-01,1816.5534385
_T,FT,annual,2024-01-01,1809.1436835
_T,FT,annual,2025-01-01,1798.3603217
_T,FT,volume,2010-01-01,5772189586.4
_T,FT,volume,2011-01-01,5912899146.3
_T,FT,volume,2012-01-01,5911536510.3
