indicator,date,value
ch.kof.esi.index.v2018,2018-01-01,107.93955269983591
ch.kof.esi.index.v2018,2018-02-01,109.27639278567143
ch.kof.esi.index.v2018,2018-03-01,108.07006512407004
ch.kof.esi.index.v2018,2018-04-01,108.97463506568069
ch.kof.esi.index.v2018,2018-05-01,109.98056115864276
ch.kof.esi.index.v2018,2018-06-01,110.1998646263587
ch.kof.esi.index.v2018,2018-07-01,106.41550819726176
ch.kof.esi.index.v2018,2018-08-01,106.89530874241235
ch.kof.esi.index.v2018,2018-09-01,107.01433204328166
ch.kof.esi.index.v2018,2018-10-01,108.40832007046906
ch.kof.esi.index.v2018,2018-11-01,106.7846496595726
ch.kof.esi.index.v2018,2018-12-01,105.409427543867
ch.kof.esi.index.v2018,2019-01-01,104.47347668476
ch.kof.esi.index.v2018,2019-02-01,103.08784500045424
ch.kof.esi.index.v2018,2019-03-01,104.30242103860375
ch.kof.esi.index.v2018,2019-04-01,102.85787601354738
ch.kof.esi.index.v2018,2019-05-01,102.50084998068137
ch.kof.esi.index.v2018,2019-06-01,100.8921568181935
ch.kof.esi.index.v2018,2019-07-01,100.769551589458
ch.kof.esi.index.v2018,2019-08-01,100.32170457795934
ch.kof.esi.index.v2018,2019-09-01,99.22031172264325
ch.kof.esi.index.v2018,2019-10-01,97.99043304906564
ch.kof.esi.index.v2018,2019-11-01,99.10092768646987
ch.kof.esi.index.v2018,2019-12-01,100.02592648212708
ch.kof.esi.index.v2018,2020-01-01,100.77346880580386
ch.kof.esi.index.v2018,2020-02-01,100.90482031434036
ch.kof.esi.index.v2018,2020-03-01,93.64791467095992
ch.kof.esi.index.v2018,2020-04-01,61.50862276479674
ch.kof.esi.index.v2018,2020-05-01,62.22728791576736
ch.kof.esi.index.v2018,2020-06-01,72.28142368226703
ch.kof.esi.index.v2018,2020-07-01,83.09642481708097
ch.kof.esi.index.v2018,2020-08-01,86.6348358768059
ch.kof.esi.index.v2018,2020-09-01,89.7679209179483
ch.kof.esi.index.v2018,2020-10-01,93.36446581600846
ch.kof.esi.index.v2018,2020-11-01,89.2167104212084
ch.kof.esi.index.v2018,2020-12-01,92.49615935039392
ch.kof.esi.index.v2018,2021-01-01,91.69740333378591
ch.kof.esi.index.v2018,2021-02-01,91.17193804005372
ch.kof.esi.index.v2018,2021-03-01,97.05659354335576
ch.kof.esi.index.v2018,2021-04-01,105.22430481087348
ch.kof.esi.index.v2018,2021-05-01,107.16798639982328
ch.kof.esi.index.v2018,2021-06-01,108.862651308333
ch.kof.esi.index.v2018,2021-07-01,113.68073480723756
ch.kof.esi.index.v2018,2021-08-01,113.0242352753462
ch.kof.esi.index.v2018,2021-09-01,115.33365084238169
ch.kof.esi.index.v2018,2021-10-01,115.17636238191167
ch.kof.esi.index.v2018,2021-11-01,116.3374174099434
ch.kof.esi.index.v2018,2021-12-01,114.0664697810156
ch.kof.esi.index.v2018,2022-01-01,112.75365928908732
ch.kof.esi.index.v2018,2022-02-01,115.1298189664822
ch.kof.esi.index.v2018,2022-03-01,115.05213381057568
ch.kof.esi.index.v2018,2022-04-01,109.3064262914555
ch.kof.esi.index.v2018,2022-05-01,107.78477752641096
ch.kof.esi.index.v2018,2022-06-01,107.75756863885954
ch.kof.esi.index.v2018,2022-07-01,103.1837901772099
ch.kof.esi.index.v2018,2022-08-01,101.3320957661314
ch.kof.esi.index.v2018,2022-09-01,98.91834711889376
ch.kof.esi.index.v2018,2022-10-01,95.02801286505878
ch.kof.esi.index.v2018,2022-11-01,94.74203301279256
ch.kof.esi.index.v2018,2022-12-01,94.82077772583962
ch.kof.esi.index.v2018,2023-01-01,100.35802828744302
ch.kof.esi.index.v2018,2023-02-01,99.68948328376192
ch.kof.esi.index.v2018,2023-03-01,99.73916529879877
ch.kof.esi.index.v2018,2023-04-01,96.7545555750349
ch.kof.esi.index.v2018,2023-05-01,93.19562295847189
ch.kof.esi.index.v2018,2023-06-01,94.46674755423264
ch.kof.esi.index.v2018,2023-07-01,92.93381389275288
ch.kof.esi.index.v2018,2023-08-01,95.1313552339974
ch.kof.esi.index.v2018,2023-09-01,92.17230783191886
ch.kof.esi.index.v2018,2023-10-01,86.70202685882904
ch.kof.esi.index.v2018,2023-11-01,88.64976127415878
ch.kof.esi.index.v2018,2023-12-01,89.84933081640968
ch.kof.esi.index.v2018,2024-01-01,90.83920629842692
ch.kof.esi.index.v2018,2024-02-01,93.08808058340492
ch.kof.esi.index.v2018,2024-03-01,94.30675175750676
ch.kof.esi.index.v2018,2024-04-01,95.01285995903788
ch.kof.esi.index.v2018,2024-05-01,96.2802357491554
ch.kof.esi.index.v2018,2024-06-01,95.8785659056517
ch.kof.esi.index.v2018,2024-07-01,96.807810122803
