base,date,value
1963,2001-04-01,188.4504
1963,2001-05-01,188.2261
1963,2001-06-01,188.6941
1963,2001-07-01,188.5291
1963,2001-08-01,188.0156
1963,2001-09-01,188.2105
1963,2001-10-01,187.6806
1963,2001-11-01,187.2396
1963,2001-12-01,187.4933
1963,2002-01-01,187.3268
1963,2002-02-01,186.5748
1963,2002-03-01,186.7216
1963,2002-04-01,186.9366
1963,2002-05-01,187.3016
1963,2002-06-01,187.3342
1963,2002-07-01,187.4716
1963,2002-08-01,186.9781
1963,2002-09-01,187.1172
1963,2002-10-01,186.8539
1963,2002-11-01,186.6583
1963,2002-12-01,186.6137
1963,2003-01-01,186.4634
1963,2003-02-01,186.2626
1963,2003-03-01,186.7771
1963,2003-04-01,187.1118
1963,2003-05-01,186.9415
1963,2003-06-01,187.0081
1963,2003-07-01,187.0307
1963,2003-08-01,186.9916
1963,2003-09-01,187.1165
1963,2003-10-01,187.2666
1963,2003-11-01,187.4773
1963,2003-12-01,187.518
1963,2004-01-01,187.5509
1963,2004-02-01,187.5263
1963,2004-03-01,188.2847
1963,2004-04-01,189.227
1963,2004-05-01,189.7103
1963,2004-06-01,189.5804
1963,2004-07-01,189.3998
1963,2004-08-01,189.4439
1963,2004-09-01,189.6619
1963,2004-10-01,190.376
1963,2004-11-01,190.6037
1963,2004-12-01,189.9225
1963,2005-01-01,189.4559
1963,2005-02-01,189.9606
1963,2005-03-01,190.0657
1963,2005-04-01,190.6633
1963,2005-05-01,190.2289
1963,2005-06-01,190.17
1963,2005-07-01,190.5098
1963,2005-08-01,190.7792
1963,2005-09-01,191.8824
1963,2005-10-01,191.9953
1963,2005-11-01,191.9932
1963,2005-12-01,192.0605
1963,2006-01-01,192.2572
1963,2006-02-01,192.7989
1963,2006-03-01,192.9597
1963,2006-04-01,194.2507
1963,2006-05-01,194.7641
1963,2006-06-01,195.1574
1963,2006-07-01,195.4163
1963,2006-08-01,195.7788
1963,2006-09-01,195.7844
1963,2006-10-01,195.8962
1963,2006-11-01,195.9046
1963,2006-12-01,195.8612
1963,2007-01-01,195.6053
1963,2007-02-01,196.5785
1963,2007-03-01,196.9842
1963,2007-04-01,198.3575
1963,2007-05-01,199.9622
1963,2007-06-01,200.0955
1963,2007-07-01,200.127
1963,2007-08-01,200.7855
1963,2007-09-01,200.7099
1963,2007-10-01,200.7398
1963,2007-11-01,201.2285
1963,2007-12-01,201.2307
1963,2008-01-01,202.3629
1963,2008-02-01,203.1562
1963,2008-03-01,203.8061
1963,2008-04-01,205.4788
1963,2008-05-01,207.8094
1963,2008-06-01,208.8107
1963,2008-07-01,209.3891
1963,2008-08-01,207.8838
1963,2008-09-01,206.9433
1963,2008-10-01,206.4006
1963,2008-11-01,205.6345
1963,2008-12-01,205.0217
1963,2009-01-01,204.4848
1963,2009-02-01,203.051
1963,2009-03-01,202.2825
1963,2009-04-01,202.2946
1963,2009-05-01,201.7819
1963,2009-06-01,201.6669
1963,2009-07-01,201.3386
1963,2009-08-01,201.3485
1963,2009-09-01,201.4906
1963,2009-10-01,200.6256
1963,2009-11-01,200.4942
1963,2009-12-01,200.8363
1963,2010-01-01,201.511
1963,2010-02-01,201.0154
1963,2010-03-01,201.7523
1963,2010-04-01,202.8246
1963,2010-05-01,203.0282
1963,2010-06-01,202.2006
1963,2010-07-01,201.3973
1963,2010-08-01,201.7323
1963,2010-09-01,201.7949
1963,2010-10-01,201.3323
1963,2010-11-01,200.5864
1963,2010-12-01,201.1154
1963,2011-01-01,201.3392
1963,2011-02-01,201.1505
1963,2011-03-01,201.5009
1963,2011-04-01,201.7697
1963,2011-05-01,200.8894
1963,2011-06-01,200.5864
1963,2011-07-01,199.6857
1963,2011-08-01,198.0718
1963,2011-09-01,197.9542
1963,2011-10-01,197.7342
1963,2011-11-01,196.1708
1963,2011-12-01,196.6548
1963,2012-01-01,196.6501
1963,2012-02-01,198.1817
1963,2012-03-01,198.464
1963,2012-04-01,198.2133
1963,2012-05-01,198.4001
1963,2012-06-01,198.1384
1963,2012-07-01,197.9961
1963,2012-08-01,198.5672
1963,2012-09-01,198.7844
1963,2012-10-01,198.7498
1963,2012-11-01,199.0218
1963,2012-12-01,199.278
1963,2013-01-01,199.0899
1963,2013-02-01,199.0534
1963,2013-03-01,199.0325
1963,2013-04-01,199.506
1963,2013-05-01,198.9605
1963,2013-06-01,199.094
1963,2013-07-01,199.0121
1963,2013-08-01,199.0893
1963,2013-09-01,199.3023
1963,2013-10-01,198.8181
1963,2013-11-01,198.7042
1963,2013-12-01,198.785
1963,2014-01-01,198.7917
1963,2014-02-01,198.2346
1963,2014-03-01,198.2724
1963,2014-04-01,197.8776
1963,2014-05-01,197.9484
1963,2014-06-01,198.0069
1963,2014-07-01,197.7678
1963,2014-08-01,197.3487
1963,2014-09-01,197.281
1963,2014-10-01,197.2577
1963,2014-11-01,195.8794
1963,2014-12-01,195.4333
