type,structure,seas_adj,date,value
index,ks_i11_econ_hist_q,na,2010-04-01,-9.870980826904647
index,ks_i11_econ_hist_q,na,2010-07-01,2.7604052062931252
index,ks_i11_econ_hist_q,na,2010-10-01,13.21368920259285
index,ks_i11_econ_hist_q,na,2011-01-01,14.13840850923716
index,ks_i11_econ_hist_q,na,2011-04-01,10.27929311915176
index,ks_i11_econ_hist_q,na,2011-07-01,-7.608644107020758
index,ks_i11_econ_hist_q,na,2011-10-01,-44.13928451924012
index,ks_i11_econ_hist_q,na,2012-01-01,-49.626084301835256
index,ks_i11_econ_hist_q,na,2012-04-01,-20.174391017805515
index,ks_i11_econ_hist_q,na,2012-07-01,-26.65042129534967
index,ks_i11_econ_hist_q,na,2012-10-01,-24.49337644679219
index,ks_i11_econ_hist_q,na,2013-01-01,-12.252204786475644
index,ks_i11_econ_hist_q,na,2013-04-01,-9.136225311464887
index,ks_i11_econ_hist_q,na,2013-07-01,-11.725370403979614
index,ks_i11_econ_hist_q,na,2013-10-01,0.21230537946006356
index,ks_i11_econ_hist_q,na,2014-01-01,9.316368799535772
index,ks_i11_econ_hist_q,na,2014-04-01,2.9437656187191656
index,ks_i11_econ_hist_q,na,2014-07-01,4.412717495365776
index,ks_i11_econ_hist_q,na,2014-10-01,-11.49243795049202
index,ks_i11_econ_hist_q,na,2015-01-01,-1.5839851540888246
index,ks_i11_econ_hist_q,na,2015-04-01,-24.508614291874665
index,ks_i11_econ_hist_q,na,2015-07-01,-38.109198079796954
index,ks_i11_econ_hist_q,na,2015-10-01,-32.075227903452465
index,ks_i11_econ_hist_q,na,2016-01-01,-37.20290586731305
index,ks_i11_econ_hist_q,na,2016-04-01,-32.863043766401965
index,ks_i11_econ_hist_q,na,2016-07-01,-29.979428205933033
index,ks_i11_econ_hist_q,na,2016-10-01,-20.86813079623976
index,ks_i11_econ_hist_q,na,2017-01-01,-11.20447338322978
index,ks_i11_econ_hist_q,na,2017-04-01,-8.147638302891746
index,ks_i11_econ_hist_q,na,2017-07-01,7.159357752950015
index,ks_i11_econ_hist_q,na,2017-10-01,10.839259278727932
index,ks_i11_econ_hist_q,na,2018-01-01,21.924369807392473
index,ks_i11_econ_hist_q,na,2018-04-01,16.021629368450697
index,ks_i11_econ_hist_q,na,2018-07-01,10.890551564228144
index,ks_i11_econ_hist_q,na,2018-10-01,15.8548566779086
index,ks_i11_econ_hist_q,na,2019-01-01,6.820843072466422
index,ks_i11_econ_hist_q,na,2019-04-01,2.447509739133088
index,ks_i11_econ_hist_q,na,2019-07-01,1.8105113704544584
index,ks_i11_econ_hist_q,na,2019-10-01,-12.996361228608848
index,ks_i11_econ_hist_q,na,2020-01-01,3.5907961241096142
index,ks_i11_econ_hist_q,na,2020-04-01,-42.74981496421103
