origin,sex,date,value
tot,men,2022-05-01,3.625413270788183
tot,men,2022-06-01,3.556204926240609
tot,men,2022-07-01,3.7272113484450182
tot,men,2022-08-01,3.7682470270068102
tot,men,2022-09-01,3.7135053113717738
tot,men,2022-10-01,3.5950777137791565
tot,men,2022-11-01,3.6683572676525182
tot,men,2022-12-01,3.8855291416710402
tot,men,2023-01-01,4.1216349311517435
tot,men,2023-02-01,4.133003895427448
tot,men,2023-03-01,3.958445127189773
tot,men,2023-04-01,3.632305408412606
tot,men,2023-05-01,3.4580219528337204
tot,men,2023-06-01,3.480152210739356
tot,men,2023-07-01,3.725540515590476
tot,men,2023-08-01,3.9024439176772723
tot,men,2023-09-01,4.042552674349686
tot,men,2023-10-01,3.820008570188186
tot,men,2023-11-01,3.7332788697406887
tot,men,2023-12-01,3.9738109880816106
tot,men,2024-01-01,4.221493117475477
tot,men,2024-02-01,4.244770545230903
tot,men,2024-03-01,4.107629693141105
tot,men,2024-04-01,3.8255087560108683
tot,men,2024-05-01,3.7130749182815865
tot,men,2024-06-01,3.814044469214952
tot,men,2024-07-01,4.337079143707329
tot,men,2024-08-01,4.596021345977111
tot,men,2024-09-01,4.499545665477504
tot,men,2024-10-01,4.043299919307724
tot,men,2024-11-01,4.018579019063308
tot,men,2024-12-01,4.352466115718194
tot,men,2025-01-01,4.81224520211881
tot,men,2025-02-01,4.910814963099015
tot,men,2025-03-01,4.845450618518515
tot,men,2025-04-01,4.662662619201987
tot,men,2025-05-01,4.550994391711349
tot,men,2025-06-01,4.612408573941328
tot,men,2025-07-01,4.9828959959529495
tot,men,2025-08-01,5.138611015057766
tot,men,2025-09-01,5.052140950653007
tot,men,2025-10-01,4.72498776113545
tot,men,2025-11-01,4.724777379593133
tot,men,2025-12-01,4.955649898665808
tot,men,2026-01-01,5.3505700770595075
tot,men,2026-02-01,5.208794974385523
tot,men,2026-03-01,5.316931582478157
tot,men,2026-04-01,5.1428526841796804
tot,men,2026-05-01,4.9500663442527575
tot,men,2026-06-01,4.870137295566811
tot,tot,1991-01-01,1.7344520676234612
tot,tot,1991-02-01,1.7901731940462262
tot,tot,1991-03-01,1.8318054143303124
tot,tot,1991-04-01,1.788327802843
tot,tot,1991-05-01,1.8743637445256183
tot,tot,1991-06-01,2.0752809106313816
tot,tot,1991-07-01,2.2516056650913727
tot,tot,1991-08-01,2.2624508784883433
tot,tot,1991-09-01,2.1992577044202855
tot,tot,1991-10-01,2.097149176513259
tot,tot,1991-11-01,2.256403713768877
tot,tot,1991-12-01,2.4867547807178654
tot,tot,1992-01-01,2.8233115071242993
tot,tot,1992-02-01,3.021609252618301
tot,tot,1992-03-01,2.991140496257399
tot,tot,1992-04-01,2.8299172743958034
tot,tot,1992-05-01,2.955859605094
tot,tot,1992-06-01,3.2894301655101983
tot,tot,1992-07-01,3.6467762197649
tot,tot,1992-08-01,3.7158305982592057
tot,tot,1992-09-01,3.6695050449758932
tot,tot,1992-10-01,3.5851084192272853
tot,tot,1992-11-01,3.759957740184394
tot,tot,1992-12-01,3.8419261995883187
tot,tot,1993-01-01,4.186818721973077
tot,tot,1993-02-01,4.399476120628678
tot,tot,1993-03-01,4.226313426398243
tot,tot,1993-04-01,3.886395380808767
tot,tot,1993-05-01,3.886395380808767
tot,tot,1993-06-01,4.226735748382467
tot,tot,1993-07-01,4.808985719044994
tot,tot,1993-08-01,4.913247158131325
tot,tot,1993-09-01,4.77010715582368
tot,tot,1993-10-01,4.4577808918181665
tot,tot,1993-11-01,4.645686983207997
tot,tot,1993-12-01,4.754606364973836
tot,tot,1994-01-01,4.999950912583529
tot,tot,1994-02-01,4.999950912583529
tot,tot,1994-03-01,4.606522123832943
tot,tot,1994-04-01,4.177234449990518
tot,tot,1994-05-01,4.090868443838794
tot,tot,1994-06-01,4.254967998170691
tot,tot,1994-07-01,4.739035782958334
tot,tot,1994-08-01,4.638024926083334
tot,tot,1994-09-01,4.360415825958333
tot,tot,1994-10-01,4.066322771249084
tot,tot,1994-11-01,4.159306435249084
tot,tot,1994-12-01,4.1876899375018315
tot,tot,1995-01-01,4.421915301305789
tot,tot,1995-02-01,4.421915301305789
tot,tot,1995-03-01,4.020632780388423
tot,tot,1995-04-01,3.627208659828084
tot,tot,1995-05-01,3.542635880245407
tot,tot,1995-06-01,3.570898466926509
tot,tot,1995-07-01,3.813370258647098
tot,tot,1995-08-01,3.813370258647098
tot,tot,1995-09-01,3.7064419077058024
tot,tot,1995-10-01,3.5065326279678506
tot,tot,1995-11-01,3.684726166623721
tot,tot,1995-12-01,3.8121922174084286
tot,tot,1996-01-01,4.065578140557442
tot,tot,1996-02-01,4.156459527627552
tot,tot,1996-03-01,4.092390279815007
tot,tot,1996-04-01,3.9218925592148146
tot,tot,1996-05-01,3.9218925592148146
tot,tot,1996-06-01,4.049143507570371
tot,tot,1996-07-01,4.455872538085522
tot,tot,1996-08-01,4.455872538085522
tot,tot,1996-09-01,4.3026293068289565
tot,tot,1996-10-01,4.035685576292919
tot,tot,1996-11-01,4.2965825813232215
tot,tot,1996-12-01,4.582133591383858
tot,tot,1997-01-01,5.232480742575043
tot,tot,1997-02-01,5.232480742575043
tot,tot,1997-03-01,4.898486270849914
tot,tot,1997-04-01,4.462990376592631
tot,tot,1997-05-01,4.297978966487368
tot,tot,1997-06-01,4.56370202292
tot,tot,1997-07-01,5.064121135999249
tot,tot,1997-08-01,5.064121135999249
tot,tot,1997-09-01,4.781345642001503
tot,tot,1997-10-01,4.373022154019178
tot,tot,1997-11-01,4.464934580606209
tot,tot,1997-12-01,4.627213760374613
tot,tot,1998-01-01,4.801812238669399
tot,tot,1998-02-01,4.707085141955114
tot,tot,1998-03-01,4.415985836375487
tot,tot,1998-04-01,3.9752620659875055
tot,tot,1998-05-01,3.691983125684227
tot,tot,1998-06-01,3.8527650473282664
tot,tot,1998-07-01,4.290788291033881
tot,tot,1998-08-01,4.171691929713493
tot,tot,1998-09-01,3.804444995252625
tot,tot,1998-10-01,3.5244046737832515
tot,tot,1998-11-01,3.6354351468648836
tot,tot,1998-12-01,3.7211465413518647
tot,tot,1999-01-01,3.8520720483658444
tot,tot,1999-02-01,3.7425309328486023
tot,tot,1999-03-01,3.5238202437855546
tot,tot,1999-04-01,3.3640332331787226
tot,tot,1999-05-01,3.130768723758604
tot,tot,1999-06-01,3.3606235660626735
tot,tot,1999-07-01,3.6786510270829256
tot,tot,1999-08-01,3.5353659187563955
tot,tot,1999-09-01,3.3174385161606774
tot,tot,1999-10-01,3.0481131684793903
