item,date,value
100_10,2004-06-01,81.0244
100_10,2004-07-01,81.0244
100_10,2004-08-01,81.0244
100_10,2004-09-01,81.7077
100_10,2004-10-01,81.7077
100_10,2004-11-01,81.7077
100_10,2004-12-01,81.7077
100_10,2005-01-01,81.7077
100_10,2005-02-01,81.7077
100_10,2005-03-01,81.6975
100_10,2005-04-01,81.6975
100_10,2005-05-01,81.6975
100_10,2005-06-01,81.7204
100_10,2005-07-01,81.7204
100_10,2005-08-01,81.7204
100_10,2005-09-01,82.9252
100_10,2005-10-01,82.9252
100_10,2005-11-01,82.9252
100_10,2005-12-01,82.9827
100_10,2006-01-01,82.9827
100_10,2006-02-01,82.9827
100_10,2006-03-01,82.9958
100_10,2006-04-01,82.9958
100_10,2006-05-01,82.9958
100_10,2006-06-01,82.9958
100_10,2006-07-01,82.9958
100_10,2006-08-01,82.9958
100_10,2006-09-01,84.2365
100_10,2006-10-01,84.2365
100_10,2006-11-01,84.2365
100_10,2006-12-01,84.4187
100_10,2007-01-01,84.4187
100_10,2007-02-01,84.4187
100_10,2007-03-01,84.4187
100_10,2007-04-01,84.4187
100_10,2007-05-01,84.4187
100_10,2007-06-01,84.4187
100_10,2007-07-01,84.4187
100_10,2007-08-01,84.4187
100_10,2007-09-01,85.2779
100_10,2007-10-01,85.2779
100_10,2007-11-01,85.2779
100_10,2007-12-01,85.5727
100_10,2008-01-01,85.5727
100_10,2008-02-01,85.5727
100_10,2008-03-01,85.5727
100_10,2008-04-01,85.5727
100_10,2008-05-01,85.5727
100_10,2008-06-01,85.5727
100_10,2008-07-01,85.5727
100_10,2008-08-01,85.5727
100_10,2008-09-01,86.853
100_10,2008-10-01,86.853
100_10,2008-11-01,86.853
100_10,2008-12-01,87.0879
100_10,2009-01-01,87.0879
100_10,2009-02-01,87.0879
100_10,2009-03-01,87.0879
100_10,2009-04-01,87.0879
100_10,2009-05-01,87.0879
100_10,2009-06-01,87.0879
100_10,2009-07-01,87.0879
100_10,2009-08-01,87.0879
100_10,2009-09-01,88.0091
100_10,2009-10-01,88.0091
100_10,2009-11-01,88.0091
100_10,2009-12-01,88.0803
100_10,2010-01-01,88.0803
100_10,2010-02-01,88.0803
100_10,2010-03-01,88.0803
100_10,2010-04-01,88.0803
100_10,2010-05-01,88.0803
100_10,2010-06-01,88.0803
100_10,2010-07-01,88.0803
100_10,2010-08-01,88.0803
100_10,2010-09-01,88.961
100_10,2010-10-01,88.961
100_10,2010-11-01,88.961
100_10,2010-12-01,89.3703
100_10,2011-01-01,89.3703
100_10,2011-02-01,89.3703
100_10,2011-03-01,89.3703
100_10,2011-04-01,89.3703
100_10,2011-05-01,89.3703
100_10,2011-06-01,89.3703
100_10,2011-07-01,89.3703
100_10,2011-08-01,89.3703
100_10,2011-09-01,90.0218
100_10,2011-10-01,90.0218
100_10,2011-11-01,90.0218
100_10,2011-12-01,90.7924
100_10,2012-01-01,90.7924
