D0,D1,D2,D3,date,value
AV1,KC5A,H,F,2012-01-01,137439
AV1,KC5A,H,F,2012-02-01,137709
AV1,KC5A,H,F,2012-03-01,138076
AV1,KC5A,H,F,2012-04-01,139205
AV1,KC5A,H,F,2012-05-01,139916
AV1,KC5A,H,F,2012-06-01,140305
AV1,KC5A,H,F,2012-07-01,141038
AV1,KC5A,H,F,2012-08-01,141531
AV1,KC5A,H,F,2012-09-01,141954
AV1,KC5A,H,F,2012-10-01,142572
AV1,KC5A,H,F,2012-11-01,143014
AV1,KC5A,H,F,2012-12-01,145997
AV1,KC5A,H,F,2013-01-01,146363
AV1,KC5A,H,F,2013-02-01,146984
AV1,KC5A,H,F,2013-03-01,147700
AV1,KC5A,H,F,2013-04-01,149136
AV1,KC5A,H,F,2013-05-01,149823
AV1,KC5A,H,F,2013-06-01,150193
AV1,KC5A,H,F,2013-07-01,150875
AV1,KC5A,H,F,2013-08-01,151790
AV1,KC5A,H,F,2013-09-01,150963
AV1,KC5A,H,F,2013-10-01,151664
AV1,KC5A,H,F,2013-11-01,152376
AV1,KC5A,H,F,2013-12-01,152940
AV1,KC5A,H,F,2014-01-01,153772
AV1,KC5A,H,F,2014-02-01,154317
AV1,KC5A,H,F,2014-03-01,154950
AV1,KC5A,H,F,2014-04-01,155498
AV1,KC5A,H,F,2014-05-01,155706
AV1,KC5A,H,F,2014-06-01,156111
AV1,KC5A,H,F,2014-07-01,157111
AV1,KC5A,H,F,2014-08-01,158301
AV1,KC5A,H,F,2014-09-01,158157
AV1,KC5A,H,F,2014-10-01,159058
AV1,KC5A,H,F,2014-11-01,159208
AV1,KC5A,H,F,2014-12-01,160002
AV1,KC5A,H,F,2015-01-01,160830
AV1,KC5A,H,F,2015-02-01,160975
AV1,KC5A,H,F,2015-03-01,161149
AV1,KC5A,H,F,2015-04-01,161908
AV1,KC5A,H,F,2015-05-01,161937
AV1,KC5A,H,F,2015-06-01,162056
AV1,KC5A,H,F,2015-07-01,162736
AV1,KC5A,H,F,2015-08-01,163202
AV1,KC5A,H,F,2015-09-01,163235
AV1,KC5A,H,F,2015-10-01,163796
AV1,KC5A,H,F,2015-11-01,164205
AV1,KC5A,H,F,2015-12-01,164437
AV1,KC5A,H,F,2016-01-01,164493
AV1,KC5A,H,F,2016-02-01,164773
AV1,KC5A,H,F,2016-03-01,164935
AV1,KC5A,H,F,2016-04-01,165845
AV1,KC5A,H,F,2016-05-01,165665
AV1,KC5A,H,F,2016-06-01,166027
AV1,KC5A,H,F,2016-07-01,166678
AV1,KC5A,H,F,2016-08-01,167203
AV1,KC5A,H,F,2016-09-01,166541
AV1,KC5A,H,F,2016-10-01,167750
AV1,KC5A,H,F,2016-11-01,167916
AV1,KC5A,H,F,2016-12-01,168993
AV1,KC5A,H,F,2017-01-01,169876
AV1,KC5A,H,F,2017-02-01,170000
AV1,KC5A,H,F,2017-03-01,170546
AV1,KC5A,H,F,2017-04-01,171360
AV1,KC5A,H,F,2017-05-01,172017
AV1,KC5A,H,F,2017-06-01,172337
AV1,KC5A,H,F,2017-07-01,171755
AV1,KC5A,H,F,2017-08-01,172188
AV1,KC5A,H,F,2017-09-01,172885
AV1,KC5A,H,F,2017-10-01,173483
AV1,KC5A,H,F,2017-11-01,174274
AV1,KC5A,H,F,2017-12-01,174654
AV1,KC5A,H,F,2018-01-01,175400
AV1,KC5A,H,F,2018-02-01,175835
AV1,KC5A,H,F,2018-03-01,176121
AV1,KC5A,H,F,2018-04-01,176559
AV1,KC5A,H,F,2018-05-01,177287
AV1,KC5A,H,F,2018-06-01,178010
AV1,KC5A,H,F,2018-07-01,179086
AV1,KC5A,H,F,2018-08-01,179560
